"Contractor","Location","Total Amount"
"Fred","Mongolia","243.95"
"Fred","Greenland","0"
"Fred","Haiti","51.0"
"Fred","Canada","350.5"
"Fred","Dominican Republic","397.0"
"Fred","Bulgaria","0"
"Fred","Southern Africa","0"
"Fred","Bolivia","0"
"Fred","Paraguay","0"
"Fred","Finland","0"
"Fred","Romania","0"
"Fred","Uzbekistan","596.9"
"Fred","Cambodia","0"
"Fred","East Indies","0"
"Fred","Sierra Leone","0"
"Fred","Gaza Strip","0"
"Fred","Malaysia","0"
"Fred","Burundi","385.0"
"Fred","Gibraltar","0"
"Fred","Spain","0"
"Fred","Gabon","0"
"Fred","Niue","0"
"Fred","New Zealand","0"
"Fred","Costa Rica","762.9"
"Fred","Middle East","0"
"Fred","Barbados","0"
"Fred","Anguilla","287.5"
"Fred","Thailand","0"
"Fred","Chad","0"
"Fred","Bangladesh","356.1"
"Fred","Djibouti","0"
"Fred","South Korea","105.1"
"Fred","Australia","0"
"Fred","Italy","0"
"Fred","Serbia","0"
"Fred","El Salvador","0"
"Fred","Netherlands Antilles","471.0"
"Fred","Norfolk Island","0"
"Fred","United States Virgin Islands","64.98"
"Fred","Namibia","93.99"
"Fred","Guatemala","97.5"
"Fred","Norway","279.1"
"Fred","Pakistan","0"
"Fred","Cyprus","0"
"Fred","Faeroe Islands","131.1"
"Fred","Japan","0"
"Fred","Democratic Republic Of The Congo","261.95"
"Fred","Madagascar","0"
"Fred","San Marino","0"
"Fred","United Kingdom","0"
"Fred","Kazakhstan","0"
"Fred","France","0"
"Fred","Togo","0"
"Fred","Algeria","287.99"
"Fred","Russia","0"
"Fred","Swaziland","328.0"
"Fred","South Asia","187.98"
"Fred","Saint Kitts-Nevis","0"
"Fred","Switzerland","0"
"Fred","Fiji","0"
"John","Africa","477.0"
"John","Libya","0"
"John","Afghanistan","0"
"John","Northern Mariana Islands","0"
"John","Denmark","150.95"
"John","Eastern Europe","436.5"
"John","Andorra","175.0"
"John","Aland Islands","0"
"John","Jordan","0"
"John","Slovakia","297.95"
"John","Columbia","267.98"
"John","Country_Desc","229.0"
"John","Burkina Faso","0"
"John","Sao Tome And Principe","0"
"John","Mexico","228.1"
"John","Bosnia And Herzegovina","703.49"
"John","Sudan","0"
"John","Estonia","0"
"John","Lesotho","30.99"
"John","Senegal","0"
"John","Asia","0"
"John","Hungary","0"
"John","Laos","0"
"John","Turkey","227.98"
"John","Lithuania","0"
"John","South America","481.95"
"John","The West","0"
"John","Portugal","163.0"
"John","Niger","0"
"John","Balkans","461.48"
"John","Yemen","0"
"John","Poland","0"
"John","West Bank","0"
"John","Bahrain","0"
"John","Baghdad","0"
"John","Iceland","0"
"John","Persian Gulf","0"
"John","Angola","0"
"John","Western Sahara","15.0"
"John","Tonga","0"
"John","Kenya","34.0"
"John","Saint Helena","236.0"
"John","Falkland Islands","0"
"John","Sweden","0"
"John","Kuwait","206.98"
"John","West Africa","0"
"John","People'S Republic Of The Congo","0"
"John","Myanmar","0"
"John","Morocco","132.95"
"John","Saudi Arabia","0"
"John","Seychelles","0"
"John","Turks And Caicos Islands","0"
"John","South Africa","579.6"
"John","Latvia","0"
"John","Occupied Palestinian Territory","0"
"John","Ecuador","0"
"John","Micronesia","0"
"John","Benin","0"
"John","Netherlands","0"
"John","Central Africa","0"
"John","Ghana","0"
"John","Suriname","0"
"John","Location","0"
"John","British Virgin Islands","218.95"
"John","Luxembourg","0"
"John","East Timor","698.49"
"John","Qatar","0"
"John","Wallis And Futuna Islands","0"
"John","Tajikistan","0"
"John","Guyana","431.95"
"John","Mediterranean","0"
"John","Czech Republic","0"
"John","Caribbean","122.99"
"John","Caucasus","418.95"
"John","Moldova","127.0"
"John","Malta","444.0"
"John","Palau","362.0"
"John","Oman","0"
"John","Vatican City","97.99"
"John","Montenegro","47.0"
"John","Panama","0"
"John","Turkmenistan","0"
"John","Nicaragua","344.98"
"John","North Africa","0"
"John","Chile","256.94"
"John","Central Asia","31.0"
"John","Mauritius","0"
"John","Tuvalu","0"
"John","French Polynesia","0"
"John","Equatorial Guinea","0"
"John","Ivory Coast","0"
"John","Isle Of Man","0"
"John","Tunisia","0"
"John","United States","0"
"John","Syria","0"
"John","Bhutan","0"
"John","Puerto Rico","0"
"John","French Guiana","334.5"
"John","Guinea","0"
"John","Saint Lucia","0"
"John","Georgia","49.0"
"John","Guinea-Bissau","0"
"John","Solomon Islands","0"
"John","Latin America","0"
"John","Jamaica","0"
"John","Grenada","0"
"John","Singapore","0"
"John","Monaco","0"
"John","North Korea","0"
"John","Ukraine","570.98"
"John","Vietnam","0"
"John","Papua New Guinea","459.98"
"John","Zimbabwe","0"
"John","Bermuda","0"
"John","Croatia","0"
"John","Lebanon","0"
"John","Saint Pierre And Miquelon","0"
"John","Maldives","350.99"
"John","Uganda","0"
"John","Iran","0"
"John","Svalbard And Jan Mayen Islands","180.99"
"John","Hong Kong","253.95"
"John","Southeast Asia","0"
"John","Cameroon","150.5"
"John","Israel","0"
"John","Belgium","252.0"
"John","Mozambique","0"
"John","Mali","0"
"John","Vanuatu","78.0"
"John","Venezuela","148.95"
"John","New Caledonia","0"
"John","Nauru","282.1"
"John","China","0"
"John","Saint Vincent And The Grenadines","217.95"
"John","Eritrea","0"
"John","Mauritania","105.0"
"John","Azerbaijan","50.95"
"John","Samoa","46.98"
"John","Antigua And Barbuda","178.95"
"John","Bahamas","367.95"
"John","Botswana","0"
"John","Montserrat","0"
"John","Somalia","0"
"John","Germany","0"
"John","Guadeloupe","0"
"John","Zambia","0"
"John","Runion","311.99"
"John","Cuba","703.98"
"John","Central African Republic","322.95"
"John","Brazil","460.0"
"John","Central Europe","399.0"
"John","Kiribati","486.5"
"John","Tanzania","26.99"
"John","Rwanda","0"
"John","Albania","0"
"John","India","0"
"John","Ethiopia","284.95"
"John","American Samoa","182.0"
"John","Brunei Darussalam","367.0"
"John","Dominica","0"
"John","Indonesia","0"
"John","Tokelau","0"
"John","Egypt","0"
"John","Malawi","418.95"
"John","North America","0"
"John","Martinique","0"
"John","Kyrgyzstan","0"
"John","Uruguay","139.98"
"John","Peru","0"
"John","Pitcairn","0"
"John","Belarus","0"
"John","Liberia","0"
"John","Nigeria","620.98"
"John","Europe","0"
"John","Sri Lanka","0"
"John","Cook Islands","0"
"John","Argentina","0"
"John","Mayotte","277.93"
"John","Cape Verde","0"
"John","Iraq","220.5"
"John","Cayman Islands","498.5"
"John","Slovenia","304.98"
"John","Philippines","96.98"
"John","Comoros","0"
"John","Liechtenstein","0"
"John","Honduras","0"
"John","Nepal","0"
"John","United Arab Emirates","0"
"John","Marshall Islands","47.95"
"John","Austria","0"
"John","Belize","0"
"John","Macao","0"
"John","Eastern Africa","0"
"John","Label","0"
"John","Greece","0"
"John","Gambia","0"
"John","Trinidad And Tobago","0"
"John","Armenia","0"
"John","Aruba","322.5"
"John","Ireland","0"
"John","Guam","49.95"
"John","Scandinavia","311.98"
"John","Macedonia","0"
"John","Mongolia","37.99"
"John","Greenland","110.95"
"John","Haiti","0"
"John","Canada","456.1"
"John","Dominican Republic","0"
"John","Bulgaria","0"
"John","Southern Africa","198.95"
"John","Bolivia","79.5"
"John","Paraguay","358.1"
"John","Finland","735.9300000000001"
"John","Romania","300.0"
"John","Uzbekistan","274.0"
"John","Cambodia","0"
"John","East Indies","332.99"
"John","Sierra Leone","0"
"John","Gaza Strip","0"
"John","Malaysia","474.99"
"John","Burundi","589.09"
"John","Gibraltar","469.95"
"John","Spain","0"
"John","Gabon","15.98"
"John","Niue","0"
"John","New Zealand","0"
"John","Costa Rica","514.0"
"John","Middle East","322.0"
"John","Barbados","0"
"John","Anguilla","0"
"John","Thailand","20.0"
"John","Chad","607.1"
"John","Bangladesh","0"
"John","Djibouti","0"
"John","South Korea","207.98"
"John","Australia","446.5"
"John","Italy","0"
"John","Serbia","0"
"John","El Salvador","0"
"John","Netherlands Antilles","259.95"
"John","Norfolk Island","0"
"John","United States Virgin Islands","0"
"John","Namibia","62.1"
"John","Guatemala","145.95"
"John","Norway","0"
"John","Pakistan","455.99"
"John","Cyprus","0"
"John","Faeroe Islands","293.99"
"John","Japan","0"
"John","Democratic Republic Of The Congo","0"
"John","Madagascar","53.95"
"John","San Marino","391.99"
"John","United Kingdom","178.95"
"John","Kazakhstan","0"
"John","France","0"
"John","Togo","0"
"John","Algeria","0"
"John","Russia","29.99"
"John","Swaziland","147.95"
"John","South Asia","476.0"
"John","Saint Kitts-Nevis","326.99"
"John","Switzerland","0"
"John","Fiji","240.5"
"Mary","Africa","0"
"Mary","Libya","120.5"
"Mary","Afghanistan","68.0"
"Mary","Northern Mariana Islands","0"
"Mary","Denmark","0"
"Mary","Eastern Europe","579.9"
"Mary","Andorra","0"
"Mary","Aland Islands","0"
"Mary","Jordan","250.0"
"Mary","Slovakia","425.1"
"Mary","Columbia","0"
"Mary","Country_Desc","0"
"Mary","Burkina Faso","0"
"Mary","Sao Tome And Principe","458.99"
"Mary","Mexico","0"
"Mary","Bosnia And Herzegovina","263.99"
"Mary","Sudan","524.0"
"Mary","Estonia","0"
"Mary","Lesotho","322.99"
"Mary","Senegal","77.0"
"Mary","Asia","0"
"Mary","Hungary","79.99"
"Mary","Laos","0"
"Mary","Turkey","205.1"
"Mary","Lithuania","0"
"Mary","South America","0"
"Mary","The West","0"
"Mary","Portugal","0"
"Mary","Niger","0"
"Mary","Balkans","0"
"Mary","Yemen","210.99"
"Mary","Poland","0"
"Mary","West Bank","0"
"Mary","Bahrain","0"
"Mary","Baghdad","104.0"
"Mary","Iceland","0"
"Mary","Persian Gulf","0"
"Mary","Angola","0"
"Mary","Western Sahara","0"
"Mary","Tonga","364.0"
"Mary","Kenya","0"
"Mary","Saint Helena","0"
"Mary","Falkland Islands","11.95"
"Mary","Sweden","151.0"
"Mary","Kuwait","0"
"Mary","West Africa","0"
"Mary","People'S Republic Of The Congo","0"
"Mary","Myanmar","491.0"
"Mary","Morocco","0"
"Mary","Saudi Arabia","249.95"
"Mary","Seychelles","0"
"Mary","Turks And Caicos Islands","230.95"
"Mary","South Africa","0"
"Mary","Latvia","0"
"Mary","Occupied Palestinian Territory","0"
"Mary","Ecuador","0"
"Mary","Micronesia","0"
"Mary","Benin","0"
"Mary","Netherlands","0"
"Mary","Central Africa","0"
"Mary","Ghana","0"
"Mary","Suriname","0"
"Mary","Location","0"
"Mary","British Virgin Islands","495.0"
"Mary","Luxembourg","0"
"Mary","East Timor","0"
"Mary","Qatar","0"
"Mary","Wallis And Futuna Islands","0"
"Mary","Tajikistan","0"
"Mary","Guyana","349.0"
"Mary","Mediterranean","0"
"Mary","Czech Republic","421.0"
"Mary","Caribbean","0"
"Mary","Caucasus","0"
"Mary","Moldova","28.99"
"Mary","Malta","0"
"Mary","Palau","0"
"Mary","Oman","0"
"Mary","Vatican City","0"
"Mary","Montenegro","0"
"Mary","Panama","240.0"
"Mary","Turkmenistan","0"
"Mary","Nicaragua","0"
"Mary","North Africa","0"
"Mary","Chile","393.1"
"Mary","Central Asia","0"
"Mary","Mauritius","0"
"Mary","Tuvalu","0"
"Mary","French Polynesia","118.0"
"Mary","Equatorial Guinea","0"
"Mary","Ivory Coast","0"
"Mary","Isle Of Man","338.0"
"Mary","Tunisia","342.5"
"Mary","United States","0"
"Mary","Syria","0"
"Mary","Bhutan","0"
"Mary","Puerto Rico","0"
"Mary","French Guiana","0"
"Mary","Guinea","0"
"Mary","Saint Lucia","0"
"Mary","Georgia","0"
"Mary","Guinea-Bissau","0"
"Mary","Solomon Islands","0"
"Mary","Latin America","0"
"Mary","Jamaica","186.99"
"Mary","Grenada","0"
"Mary","Singapore","0"
"Mary","Monaco","0"
"Mary","North Korea","0"
"Mary","Ukraine","0"
"Mary","Vietnam","0"
"Mary","Papua New Guinea","0"
"Mary","Zimbabwe","476.95"
"Mary","Bermuda","22.0"
"Mary","Croatia","0"
"Mary","Lebanon","350.0"
"Mary","Saint Pierre And Miquelon","44.0"
"Mary","Maldives","340.48"
"Mary","Uganda","0"
"Mary","Iran","0"
"Mary","Svalbard And Jan Mayen Islands","88.95"
"Mary","Hong Kong","0"
"Mary","Southeast Asia","0"
"Mary","Cameroon","401.0"
"Mary","Israel","0"
"Mary","Belgium","259.0"
"Mary","Mozambique","364.99"
"Mary","Mali","160.0"
"Mary","Vanuatu","0"
"Mary","Venezuela","0"
"Mary","New Caledonia","0"
"Mary","Nauru","0"
"Mary","China","0"
"Mary","Saint Vincent And The Grenadines","0"
"Mary","Eritrea","0"
"Mary","Mauritania","471.04999999999995"
"Mary","Azerbaijan","0"
"Mary","Samoa","0"
"Mary","Antigua And Barbuda","0"
"Mary","Bahamas","0"
"Mary","Botswana","0"
"Mary","Montserrat","473.99"
"Mary","Somalia","50.99"
"Mary","Germany","257.99"
"Mary","Guadeloupe","491.49"
"Mary","Zambia","0"
"Mary","Runion","0"
"Mary","Cuba","0"
"Mary","Central African Republic","0"
"Mary","Brazil","19.95"
"Mary","Central Europe","283.0"
"Mary","Kiribati","0"
"Mary","Tanzania","415.95"
"Mary","Rwanda","0"
"Mary","Albania","0"
"Mary","India","158.0"
"Mary","Ethiopia","256.0"
"Mary","American Samoa","218.95"
"Mary","Brunei Darussalam","220.95"
"Mary","Dominica","0"
"Mary","Indonesia","0"
"Mary","Tokelau","0"
"Mary","Egypt","0"
"Mary","Malawi","0"
"Mary","North America","139.1"
"Mary","Martinique","0"
"Mary","Kyrgyzstan","0"
"Mary","Uruguay","0"
"Mary","Peru","209.95"
"Mary","Pitcairn","0"
"Mary","Belarus","169.0"
"Mary","Liberia","0"
"Mary","Nigeria","0"
"Mary","Europe","379.0"
"Mary","Sri Lanka","0"
"Mary","Cook Islands","0"
"Mary","Argentina","0"
"Mary","Mayotte","0"
"Mary","Cape Verde","0"
"Mary","Iraq","235.1"
"Mary","Cayman Islands","439.0"
"Mary","Slovenia","0"
"Mary","Philippines","0"
"Mary","Comoros","0"
"Mary","Liechtenstein","0"
"Mary","Honduras","0"
"Mary","Nepal","0"
"Mary","United Arab Emirates","0"
"Mary","Marshall Islands","0"
"Mary","Austria","0"
"Mary","Belize","149.99"
"Mary","Macao","124.95"
"Mary","Eastern Africa","0"
"Mary","Label","0"
"Mary","Greece","323.93"
"Mary","Gambia","0"
"Mary","Trinidad And Tobago","300.99"
"Mary","Armenia","0"
"Mary","Aruba","461.95"
"Mary","Ireland","0"
"Mary","Guam","0"
"Mary","Scandinavia","0"
"Mary","Macedonia","0"
"Mary","Mongolia","0"
"Mary","Greenland","99.99"
"Mary","Haiti","0"
"Mary","Canada","336.98"
"Mary","Dominican Republic","0"
"Mary","Bulgaria","0"
"Mary","Southern Africa","474.95"
"Mary","Bolivia","0"
"Mary","Paraguay","0"
"Mary","Finland","0"
"Mary","Romania","0"
"Mary","Uzbekistan","0"
"Mary","Cambodia","817.0"
"Mary","East Indies","0"
"Mary","Sierra Leone","0"
"Mary","Gaza Strip","458.98"
"Mary","Malaysia","0"
"Mary","Burundi","0"
"Mary","Gibraltar","0"
"Mary","Spain","0"
"Mary","Gabon","417.5"
"Mary","Niue","0"
"Mary","New Zealand","0"
"Mary","Costa Rica","0"
"Mary","Middle East","335.95"
"Mary","Barbados","0"
"Mary","Anguilla","378.99"
"Mary","Thailand","0"
"Mary","Chad","0"
"Mary","Bangladesh","0"
"Mary","Djibouti","479.94"
"Mary","South Korea","0"
"Mary","Australia","0"
"Mary","Italy","357.95"
"Mary","Serbia","0"
"Mary","El Salvador","779.0"
"Mary","Netherlands Antilles","0"
"Mary","Norfolk Island","0"
"Mary","United States Virgin Islands","190.0"
"Mary","Namibia","391.95"
"Mary","Guatemala","0"
"Mary","Norway","0"
"Mary","Pakistan","0"
"Mary","Cyprus","0"
"Mary","Faeroe Islands","0"
"Mary","Japan","0"
"Mary","Democratic Republic Of The Congo","0"
"Mary","Madagascar","0"
"Mary","San Marino","273.0"
"Mary","United Kingdom","0"
"Mary","Kazakhstan","139.95"
"Mary","France","383.98"
"Mary","Togo","0"
"Mary","Algeria","0"
"Mary","Russia","189.98"
"Mary","Swaziland","429.99"
"Mary","South Asia","0"
"Mary","Saint Kitts-Nevis","0"
"Mary","Switzerland","319.0"
"Mary","Fiji","0"
"Jane","Africa","0"
"Jane","Libya","0"
"Jane","Afghanistan","0"
"Jane","Northern Mariana Islands","0"
"Jane","Denmark","0"
"Jane","Eastern Europe","0"
"Jane","Andorra","0"
"Jane","Aland Islands","0"
"Jane","Jordan","344.0"
"Jane","Slovakia","0"
"Jane","Columbia","0"
"Jane","Country_Desc","49.0"
"Jane","Burkina Faso","291.95"
"Jane","Sao Tome And Principe","0"
"Jane","Mexico","0"
"Jane","Bosnia And Herzegovina","0"
"Jane","Sudan","0"
"Jane","Estonia","371.0"
"Jane","Lesotho","0"
"Jane","Senegal","0"
"Jane","Asia","0"
"Jane","Hungary","607.93"
"Jane","Laos","0"
"Jane","Turkey","0"
"Jane","Lithuania","467.98"
"Jane","South America","0"
"Jane","The West","0"
"Jane","Portugal","372.95"
"Jane","Niger","699.1"
"Jane","Balkans","0"
"Jane","Yemen","0"
"Jane","Poland","0"
"Jane","West Bank","0"
"Jane","Bahrain","315.5"
"Jane","Baghdad","0"
"Jane","Iceland","0"
"Jane","Persian Gulf","0"
"Jane","Angola","635.95"
"Jane","Western Sahara","0"
"Jane","Tonga","0"
"Jane","Kenya","0"
"Jane","Saint Helena","0"
"Jane","Falkland Islands","383.5"
"Jane","Sweden","0"
"Jane","Kuwait","0"
"Jane","West Africa","341.99"
"Jane","People'S Republic Of The Congo","405.95"
"Jane","Myanmar","252.0"
"Jane","Morocco","233.0"
"Jane","Saudi Arabia","206.0"
"Jane","Seychelles","0"
"Jane","Turks And Caicos Islands","0"
"Jane","South Africa","0"
"Jane","Latvia","379.98"
"Jane","Occupied Palestinian Territory","0"
"Jane","Ecuador","0"
"Jane","Micronesia","0"
"Jane","Benin","0"
"Jane","Netherlands","0"
"Jane","Central Africa","0"
"Jane","Ghana","0"
"Jane","Suriname","21.98"
"Jane","Location","0"
"Jane","British Virgin Islands","0"
"Jane","Luxembourg","0"
"Jane","East Timor","0"
"Jane","Qatar","307.0"
"Jane","Wallis And Futuna Islands","0"
"Jane","Tajikistan","0"
"Jane","Guyana","0"
"Jane","Mediterranean","0"
"Jane","Czech Republic","0"
"Jane","Caribbean","0"
"Jane","Caucasus","193.0"
"Jane","Moldova","396.99"
"Jane","Malta","38.5"
"Jane","Palau","400.95"
"Jane","Oman","626.99"
"Jane","Vatican City","0"
"Jane","Montenegro","0"
"Jane","Panama","0"
"Jane","Turkmenistan","0"
"Jane","Nicaragua","0"
"Jane","North Africa","0"
"Jane","Chile","0"
"Jane","Central Asia","0"
"Jane","Mauritius","0"
"Jane","Tuvalu","0"
"Jane","French Polynesia","231.99"
"Jane","Equatorial Guinea","0"
"Jane","Ivory Coast","0"
"Jane","Isle Of Man","492.93"
"Jane","Tunisia","177.95"
"Jane","United States","10.99"
"Jane","Syria","0"
"Jane","Bhutan","0"
"Jane","Puerto Rico","0"
"Jane","French Guiana","0"
"Jane","Guinea","0"
"Jane","Saint Lucia","0"
"Jane","Georgia","0"
"Jane","Guinea-Bissau","0"
"Jane","Solomon Islands","0"
"Jane","Latin America","53.95"
"Jane","Jamaica","0"
"Jane","Grenada","0"
"Jane","Singapore","0"
"Jane","Monaco","215.99"
"Jane","North Korea","574.9300000000001"
"Jane","Ukraine","64.98"
"Jane","Vietnam","0"
"Jane","Papua New Guinea","495.95"
"Jane","Zimbabwe","0"
"Jane","Bermuda","0"
"Jane","Croatia","189.0"
"Jane","Lebanon","0"
"Jane","Saint Pierre And Miquelon","0"
"Jane","Maldives","0"
"Jane","Uganda","0"
"Jane","Iran","381.0"
"Jane","Svalbard And Jan Mayen Islands","176.1"
"Jane","Hong Kong","475.94"
"Jane","Southeast Asia","0"
"Jane","Cameroon","325.95"
"Jane","Israel","0"
"Jane","Belgium","0"
"Jane","Mozambique","0"
"Jane","Mali","0"
"Jane","Vanuatu","898.95"
"Jane","Venezuela","0"
"Jane","New Caledonia","194.0"
"Jane","Nauru","469.1"
"Jane","China","0"
"Jane","Saint Vincent And The Grenadines","0"
"Jane","Eritrea","0"
"Jane","Mauritania","0"
"Jane","Azerbaijan","41.0"
"Jane","Samoa","0"
"Jane","Antigua And Barbuda","0"
"Jane","Bahamas","0"
"Jane","Botswana","0"
"Jane","Montserrat","431.95"
"Jane","Somalia","0"
"Jane","Germany","0"
"Jane","Guadeloupe","0"
"Jane","Zambia","187.0"
"Jane","Runion","205.0"
"Jane","Cuba","0"
"Jane","Central African Republic","0"
"Jane","Brazil","0"
"Jane","Central Europe","235.99"
"Jane","Kiribati","118.0"
"Jane","Tanzania","0"
"Jane","Rwanda","0"
"Jane","Albania","197.0"
"Jane","India","0"
"Jane","Ethiopia","0"
"Jane","American Samoa","0"
"Jane","Brunei Darussalam","0"
"Jane","Dominica","0"
"Jane","Indonesia","0"
"Jane","Tokelau","0"
"Jane","Egypt","0"
"Jane","Malawi","0"
"Jane","North America","0"
"Jane","Martinique","194.0"
"Jane","Kyrgyzstan","403.1"
"Jane","Uruguay","0"
"Jane","Peru","304.0"
"Jane","Pitcairn","0"
"Jane","Belarus","180.0"
"Jane","Liberia","0"
"Jane","Nigeria","0"
"Jane","Europe","491.1"
"Jane","Sri Lanka","0"
"Jane","Cook Islands","413.95"
"Jane","Argentina","0"
"Jane","Mayotte","0"
"Jane","Cape Verde","0"
"Jane","Iraq","0"
"Jane","Cayman Islands","0"
"Jane","Slovenia","443.99"
"Jane","Philippines","0"
"Jane","Comoros","0"
"Jane","Liechtenstein","0"
"Jane","Honduras","0"
"Jane","Nepal","0"
"Jane","United Arab Emirates","300.97"
"Jane","Marshall Islands","0"
